Air Quality Index (AQI),Temperature (C),Humidity (%),Noise (dBA),Lighting (LUX),PMERi Score,Risk Label
0.781,0.632,1,0.687,0,0.62,1
0.84,0.674,1,0.768,0,0.66,1
0.842,0.747,1,0.679,0,0.65,1
0.815,0.8,1,0.711,0,0.67,1
0.788,0.789,1,0.741,0,0.66,1
0.775,0.779,1,0.795,0,0.67,1
0.895,0.789,1,0.698,0,0.68,1
0.751,0.8,1,0.72,0,0.65,1
0.73,0.789,1,0.712,0,0.65,1
0.781,0.632,1,0.769,1,0.84,2
0.331,0.461,0.211,0.133,0,0.23,0
0.218,0.363,0.245,0.178,0,0.2,0
0.84,0.674,1,1,0,0.7,2
0.842,0.747,1,0.876,0,0.69,1
0.815,0.8,1,0.727,0,0.67,1
0.788,0.789,1,0.805,0,0.68,1
0.775,0.779,1,0.669,0,0.64,1
0.895,0.789,1,1,0,0.74,2
0.751,0.8,1,0.728,0,0.66,1
0.73,0.789,1,0.893,0,0.68,1
0.781,0.632,1,0.779,1,0.84,2
0.84,0.674,1,0.986,0,0.7,2
0.842,0.747,1,0.789,0,0.68,1
0.815,0.8,1,1,0,0.72,2
0.788,0.789,1,1,0,0.72,2
0.775,0.779,1,0.762,0,0.66,1
0.895,0.789,1,0.674,0,0.67,1
0.751,0.8,1,0.785,0,0.67,1
0.73,0.789,1,0.851,0,0.67,1
0.781,0.632,1,0.705,1,0.82,2
0.84,0.674,1,1,0,0.7,2
0.842,0.747,1,0.729,0,0.66,1
0.815,0.8,1,0.771,0,0.68,1
0.788,0.789,1,0.681,0,0.65,1
0.775,0.779,1,1,0,0.71,2
0.895,0.789,1,0.927,0,0.72,2
0.401,0.328,0.118,0.274,0,0.22,0
0.328,0.242,0.356,0.289,0,0.24,0
0.215,0.348,0.538,0.461,0,0.31,0
0.751,0.8,1,0.775,0,0.67,1
0.73,0.789,1,1,0,0.7,2
0.781,0.632,1,0.764,0,0.64,1
0.84,0.674,1,0.667,0,0.64,1
0.842,0.747,1,0.667,0,0.65,1
0.815,0.8,1,0.858,1,0.89,2
0.788,0.789,1,1,0,0.72,2
0.775,0.779,1,0.809,0,0.67,1
0.895,0.789,1,0.679,0,0.67,1
0.751,0.8,1,0.898,0,0.69,1
0.73,0.789,1,0.778,0,0.66,1
0.781,0.632,1,0.915,0,0.67,1
0.84,0.674,1,0.692,0,0.64,1
0.842,0.747,1,0.846,0,0.69,1
0.815,0.8,1,0.788,0,0.68,1
0.788,0.789,1,0.862,0,0.69,1
0.775,0.779,1,0.661,0,0.64,1
0.895,0.789,1,1,0,0.74,2
0.751,0.8,1,0.68,0,0.65,1
0.73,0.789,1,0.705,1,0.84,2
0.781,0.632,1,0.718,0,0.63,1
0.84,0.674,1,0.715,0,0.65,1
0.842,0.747,1,1,0,0.72,2
0.815,0.8,1,0.773,0,0.68,1
0.788,0.789,1,0.682,0,0.65,1
0.775,0.779,1,0.68,0,0.65,1
0.895,0.789,1,0.698,0,0.68,1
0.751,0.8,1,0.846,0,0.68,1
0.73,0.789,1,1,0,0.7,2
0.781,0.632,1,0.767,1,0.84,2
0.84,0.674,1,0.675,0,0.64,1
0.842,0.747,1,0.668,0,0.65,1
0.815,0.8,1,0.681,0,0.66,1
0.788,0.789,1,0.666,0,0.65,1
0.775,0.779,1,0.704,0,0.65,1
0.895,0.789,1,0.913,0,0.72,2
0.751,0.8,1,0.568,1,0.82,2
0.73,0.789,1,0.897,1,0.88,2
0.749,0.884,1,0.833,0,0.69,1
0.739,0.937,0.957,0.775,0,0.68,1
0.717,0.958,0.917,0.727,0,0.66,1
0.705,0.979,0.893,1,0,0.72,2
0.694,0.968,0.89,0.986,0,0.71,2
0.692,0.916,0.897,0.742,0,0.65,1
0.749,0.884,1,0.767,0,0.68,1
0.739,0.937,0.957,0.767,0,0.68,1
0.362,0.502,0.577,0.3,0,0.35,0
0.304,0.477,0.587,0.287,0,0.33,0
0.717,0.958,0.917,0.734,0,0.67,1
0.705,0.979,0.893,1,0,0.72,2
0.694,0.968,0.89,0.744,0,0.66,1
0.692,0.916,0.897,0.751,0,0.65,1
0.749,0.884,1,0.687,0,0.66,1
0.739,0.937,0.957,0.848,0,0.7,2
0.717,0.958,0.917,0.785,0,0.68,1
0.705,0.979,0.893,0.795,1,0.87,2
0.694,0.968,0.89,0.72,0,0.65,1
0.692,0.916,0.897,0.807,0,0.66,1
0.749,0.884,1,0.864,1,0.9,2
0.739,0.937,0.957,1,1,0.93,2
0.717,0.958,0.917,0.836,1,0.89,2
0.705,0.979,0.893,0.72,0,0.66,1
0.694,0.968,0.89,0.996,1,0.91,2
0.692,0.916,0.897,0.701,1,0.84,2
0.749,0.884,1,0.785,1,0.88,2
0.739,0.937,0.957,0.775,1,0.88,2
0.717,0.958,0.917,0.866,1,0.89,2
0.705,0.979,0.893,0.704,0,0.66,1
0.694,0.968,0.89,0.791,1,0.87,2
0.692,0.916,0.897,0.695,1,0.84,2
0.749,0.884,1,0.689,1,0.86,2
0.739,0.937,0.957,0.836,0,0.69,1
0.717,0.958,0.917,0.72,0,0.66,1
0.705,0.979,0.893,0.904,1,0.9,2
0.694,0.968,0.89,1,0,0.71,2
0.692,0.916,0.897,0.704,0,0.64,1
0.749,0.884,1,0.864,0,0.7,2
0.739,0.937,0.957,0.781,1,0.88,2
0.717,0.958,0.917,0.845,0,0.69,1
0.705,0.979,0.893,0.892,0,0.69,1
0.694,0.968,0.89,0.778,1,0.87,2
0.692,0.916,0.897,0.854,1,0.87,2
0.749,0.884,1,0.94,1,0.91,2
0.739,0.937,0.957,0.759,0,0.68,1
0.717,0.958,0.917,0.766,0,0.67,1
0.705,0.979,0.893,1,0,0.72,2
0.694,0.968,0.89,0.822,0,0.68,1
0.692,0.916,0.897,0.789,0,0.66,1
0.749,0.884,1,0.707,1,0.87,2
0.739,0.937,0.957,0.673,0,0.66,1
0.717,0.958,0.917,0.672,0,0.65,1
0.705,0.979,0.893,0.686,0,0.65,1
0.694,0.968,0.89,0.668,0,0.64,1
0.692,0.916,0.897,0.695,0,0.64,1
0.749,0.884,1,0.675,0,0.66,1
0.739,0.937,0.957,0.688,0,0.66,1
0.717,0.958,0.917,0.712,0,0.66,1
0.705,0.979,0.893,0.695,0,0.65,1
0.694,0.968,0.89,0.694,0,0.65,1
0.692,0.916,0.897,0.665,0,0.63,1
0.749,0.884,1,0.664,0,0.66,1
0.739,0.937,0.957,0.666,0,0.66,1
0.411,0.789,1,0.694,0,0.58,1
0.402,0.382,0.517,0.331,0,0.33,0
0.384,0.226,0.419,0.238,0,0.25,0
0.82,0.853,1,0.691,0,0.67,1
0.714,0.895,0.98,0.658,0,0.65,1
0.773,0.926,0.957,0.661,0,0.66,1
0.745,0.947,0.927,0.662,0,0.66,1
0.742,0.968,0.913,0.659,0,0.66,1
0.717,0.979,0.907,0.674,0,0.66,1
0.699,0.979,0.871,0.667,0,0.64,1
0.411,0.789,1,0.669,0,0.57,1
0.82,0.853,1,0.667,0,0.67,1
0.714,0.895,0.98,0.674,0,0.65,1
0.773,0.926,0.957,0.722,0,0.68,1
0.745,0.947,0.927,0.916,0,0.71,2
0.742,0.968,0.913,0.687,0,0.66,1
0.717,0.979,0.907,1,1,0.92,2
0.699,0.979,0.871,0.809,0,0.67,1
0.411,0.789,1,0.709,0,0.58,1
0.82,0.853,1,0.671,0,0.67,1
0.714,0.895,0.98,0.673,0,0.65,1
0.773,0.926,0.957,0.776,0,0.69,1
0.745,0.947,0.927,0.694,0,0.66,1
0.742,0.968,0.913,0.759,0,0.68,1
0.717,0.979,0.907,1,0,0.72,2
0.699,0.979,0.871,0.764,0,0.66,1
0.411,0.789,1,0.766,0,0.59,1
0.82,0.853,1,0.78,0,0.69,1
0.714,0.895,0.98,0.876,0,0.69,1
0.773,0.926,0.957,0.678,0,0.67,1
0.745,0.947,0.927,0.778,0,0.68,1
0.742,0.968,0.913,1,0,0.72,2
0.717,0.979,0.907,1,0,0.72,2
0.699,0.979,0.871,0.665,0,0.64,1
0.411,0.789,1,0.801,0,0.6,1
0.82,0.853,1,0.852,0,0.7,2
0.714,0.895,0.98,1,0,0.72,2
0.773,0.926,0.957,0.664,0,0.66,1
0.745,0.947,0.927,0.773,0,0.68,1
0.742,0.968,0.913,0.671,0,0.66,1
0.717,0.979,0.907,1,0,0.72,2
0.699,0.979,0.871,0.749,0,0.66,1
0.411,0.789,1,1,0,0.64,1
0.82,0.853,1,0.662,0,0.67,1
0.714,0.895,0.98,0.672,0,0.65,1
0.773,0.926,0.957,0.758,0,0.68,1
0.745,0.947,0.927,0.664,0,0.66,1
0.742,0.968,0.913,1,0,0.72,2
0.717,0.979,0.907,0.736,0,0.67,1
0.699,0.979,0.871,0.675,1,0.84,2
0.411,0.789,1,0.765,0,0.59,1
0.82,0.853,1,0.787,0,0.69,1
0.714,0.895,0.98,0.674,0,0.65,1
0.773,0.926,0.957,0.778,0,0.69,1
0.745,0.947,0.927,1,0.02,0.73,2
0.742,0.968,0.913,0.712,0,0.67,1
0.717,0.979,0.907,0.665,0,0.65,1
0.699,0.979,0.871,0.771,0,0.66,1
0.411,0.789,1,1,0,0.64,1
0.82,0.853,1,0.722,0,0.68,1
0.714,0.895,0.98,0.961,0,0.71,2
0.773,0.926,0.957,0.666,0,0.66,1
0.745,0.947,0.927,0.968,0,0.72,2
0.742,0.968,0.913,0.666,0,0.66,1
0.717,0.979,0.907,0.732,0,0.67,1
0.699,0.979,0.871,1,0,0.71,2
0.411,0.789,1,0.749,0,0.59,1
0.82,0.853,1,0.759,0,0.69,1
0.714,0.895,0.98,0.676,0,0.65,1
0.773,0.926,0.957,0.729,0,0.68,1
0.745,0.947,0.927,0.981,0,0.72,2
0.742,0.968,0.913,0.662,0.525,0.76,2
0.717,0.979,0.907,1,0,0.72,2
0.699,0.979,0.871,1,0,0.71,2
1,1,1,1,0,0.8,2
0.321,0.411,0.211,0.256,0,0.24,0
0.112,0.312,0.113,0.154,1,0.34,0
0.378,0.674,1,0.671,0,0.54,1
0.56,0.747,1,0.666,0,0.59,1
0.79,0.8,1,0.676,0,0.65,1
0.755,0.832,1,0.667,0,0.65,1
0.744,0.853,1,0.742,0,0.67,1
0.727,0.884,0.997,0.819,0,0.69,1
0.713,0.926,0.973,0.68,0,0.66,1
0.7,0.874,0.976,0.882,0,0.69,1
0.694,0.8,1,1,0,0.7,2
0.378,0.674,1,0.689,0,0.55,1
0.56,0.747,1,0.742,0,0.61,1
0.79,0.8,1,0.687,0,0.66,1
0.755,0.832,1,1,0,0.72,2
0.744,0.853,1,0.999,0,0.72,2
0.727,0.884,0.997,0.753,0,0.67,1
0.713,0.926,0.973,0.689,0,0.66,1
0.7,0.874,0.976,0.68,0,0.65,1
0.694,0.8,1,0.675,0,0.63,1
0.378,0.674,1,0.773,0,0.56,1
0.56,0.747,1,0.758,0,0.61,1
0.79,0.8,1,0.984,0,0.71,2
0.332,0.215,0.51,0.212,0,0.25,0
0.216,0.341,0.428,0.381,1,0.47,1
0.755,0.832,1,0.667,0,0.65,1
0.744,0.853,1,0.936,0,0.71,2
0.727,0.884,0.997,0.706,0,0.66,1
0.713,0.926,0.973,1,0,0.72,2
0.7,0.874,0.976,0.735,0,0.66,1
0.694,0.8,1,0.687,0,0.64,1
0.378,0.674,1,0.676,0,0.55,1
0.56,0.747,1,1,0,0.66,1
0.79,0.8,1,1,0,0.72,2
0.755,0.832,1,0.676,0,0.65,1
0.744,0.853,1,0.676,0,0.65,1
0.727,0.884,0.997,1,0,0.72,2
0.713,0.926,0.973,0.928,0,0.71,2
0.7,0.874,0.976,0.941,0,0.7,2
0.332,0.215,0.51,0.212,0,0.25,0
0.216,0.341,0.428,0.381,0,0.27,0
0.694,0.8,1,0.976,0,0.69,1
0.378,0.674,1,0.686,0,0.55,1
0.56,0.747,1,1,0,0.66,1
0.79,0.8,1,1,1,0.92,2
0.755,0.832,1,1,0,0.72,2
0.744,0.853,1,1,0,0.72,2
0.727,0.884,0.997,1,0,0.72,2
0.713,0.926,0.973,1,0,0.72,2
0.7,0.874,0.976,1,0,0.71,2
0.694,0.8,1,1,0,0.7,2
0.378,0.674,1,1,0,0.61,1
0.56,0.747,1,0.919,0,0.65,1
0.79,0.8,1,1,0,0.72,2
0.755,0.832,1,0.831,0,0.68,1
0.744,0.853,1,1,0,0.72,2
0.727,0.884,0.997,1,0,0.72,2
0.713,0.926,0.973,1,0,0.72,2
0.7,0.874,0.976,1,0,0.71,2
0.694,0.8,1,0.982,0,0.7,2
0.378,0.674,1,0.673,0,0.54,1
0.56,0.747,1,0.788,0,0.62,1
0.79,0.8,1,0.812,1,0.88,2
0.755,0.832,1,0.693,0,0.66,1
0.744,0.853,1,0.768,0,0.67,1
0.727,0.884,0.997,0.749,0,0.67,1
0.713,0.926,0.973,0.682,0,0.66,1
0.7,0.874,0.976,0.748,0,0.66,1
0.694,0.8,1,0.667,0,0.63,1
